day;occupation;power
0.500000000000000;3;0.755691120000000
0.500000000000000;3;0.339650560000000
0.500000000000000;3;0.222167740000000
0.500000000000000;3;0.404499670000000
0.500000000000000;3;0.956347440000000
0.500000000000000;3;0.329248440000000
0.500000000000000;3;0.300804330000000
0.500000000000000;3;0.283995780000000
0.500000000000000;3;0.351479690000000
0.500000000000000;3;0.889322670000000
0.500000000000000;3;0.397637150000000
0.500000000000000;3;0.333269440000000
0.500000000000000;3;0.281210320000000
0.500000000000000;3;0.296677530000000
0.500000000000000;3;0.811168480000000
0.500000000000000;3;0.324164740000000
0.500000000000000;3;0.273568920000000
0.500000000000000;3;1.76404610000000
0.500000000000000;3;1.72470930000000
0.500000000000000;3;1.84985790000000
0.500000000000000;3;1.16236070000000
0.500000000000000;3;1.06213290000000
0.500000000000000;3;1.09732400000000
0.500000000000000;3;1.03779510000000
0.500000000000000;3;1.57116030000000
0.500000000000000;3;1.06476380000000
0.500000000000000;3;1.08584930000000
0.500000000000000;3;1.40751080000000
0.500000000000000;3;1.29790760000000
0.500000000000000;3;3.05772160000000
0.500000000000000;3;2.57962080000000
0.500000000000000;3;1.65687600000000
0.500000000000000;3;1.65054390000000
0.500000000000000;3;0.822501890000000
0.500000000000000;3;2.06312530000000
0.500000000000000;3;2.25413080000000
0.500000000000000;3;1.92007500000000
0.500000000000000;3;1.64173410000000
0.500000000000000;3;0.251759330000000
0.500000000000000;3;1.10655730000000
0.500000000000000;3;0.505022970000000
0.500000000000000;3;1.03460480000000
0.500000000000000;3;0.344328920000000
0.500000000000000;3;0.972506440000000
0.500000000000000;3;0.400544510000000
0.500000000000000;3;0.812635820000000
0.500000000000000;3;0.620753890000000
0.500000000000000;3;0.370895560000000
0.500000000000000;3;0.872119220000000
0.500000000000000;3;0.392745780000000
0.500000000000000;3;0.329952440000000
0.500000000000000;3;0.812312670000000
0.500000000000000;3;0.314795330000000
0.500000000000000;3;0.602647110000000
0.500000000000000;3;2.70861530000000
0.500000000000000;3;0.442033670000000
0.500000000000000;3;1.39146610000000
0.500000000000000;3;2.94944160000000
0.500000000000000;3;0.678280780000000
0.500000000000000;3;0.413831030000000
0.500000000000000;3;1.75354920000000
0.500000000000000;3;1.30900730000000
0.500000000000000;3;1.19413120000000
0.500000000000000;3;1.54390810000000
0.500000000000000;3;1.24270720000000
0.500000000000000;3;2.79685410000000
0.500000000000000;3;2.39511450000000
0.500000000000000;3;1.93448230000000
0.500000000000000;3;1.38603670000000
0.500000000000000;3;1.32499460000000
0.500000000000000;3;1.50276200000000
0.500000000000000;3;1.94878140000000
0.500000000000000;3;1.37227860000000
0.500000000000000;3;1.48190360000000
0.500000000000000;3;1.45275030000000
0.500000000000000;3;2.66338400000000
0.500000000000000;3;2.37155900000000
0.500000000000000;3;1.78889590000000
0.500000000000000;3;1.73725470000000
0.500000000000000;3;1.42623470000000
0.500000000000000;3;2.08631520000000
0.500000000000000;3;1.61671160000000
0.500000000000000;3;1.56164310000000
0.500000000000000;3;1.68604350000000
0.500000000000000;3;1.44115030000000
0.500000000000000;3;1.99265070000000
0.500000000000000;3;1.40336560000000
0.500000000000000;3;1.70457110000000
0.500000000000000;3;1.30040340000000
0.500000000000000;3;1.29319250000000
0.500000000000000;3;0.371816090000000
0.500000000000000;3;0.298568300000000
0.500000000000000;3;0.265861780000000
1;3;0.387347220000000
1;3;0.941643440000000
1;3;0.405382110000000
1;3;0.350690340000000
1;3;0.282572970000000
1;3;0.513905220000000
1;3;0.718370860000000
1;3;0.310594220000000
1;3;0.332046950000000
1;3;0.254426670000000
1;3;0.307058730000000
1;3;0.930828110000000
1;3;0.296889560000000
1;3;0.435947780000000
1;3;0.377615000000000
1;3;0.418761270000000
1;3;0.776904000000000
1;3;0.571024670000000
1;3;0.325874780000000
1;3;0.280385670000000
1;3;1.79263040000000
1;3;1.91774520000000
1;3;1.50790810000000
1;3;1.02451980000000
1;3;0.857559780000000
1;3;1.01670470000000
1;3;0.941292220000000
1;3;1.65653970000000
1;3;1.13085970000000
1;3;1.37657760000000
1;3;1.28230080000000
1;3;1.27152930000000
1;3;3.00364710000000
1;3;1.51177380000000
1;3;1.99818940000000
1;3;1.94503370000000
1;3;2.13485250000000
1;3;1.72091560000000
1;3;0.437446780000000
1;3;1.18451000000000
1;3;0.472840270000000
1;3;1.10217280000000
1;3;0.481921980000000
1;3;1.05826510000000
1;3;0.966695880000000
1;3;2.03617880000000
1;3;2.46310190000000
1;3;3.07031670000000
1;3;3.16668350000000
1;3;1.75876900000000
1;3;1.44209930000000
1;3;1.16906010000000
1;3;1.01287840000000
1;3;0.973611900000000
1;3;0.752761330000000
1;3;1.17806840000000
1;3;0.743126000000000
1;3;1.26198010000000
1;3;0.739875670000000
1;3;1.07863330000000
1;3;1.41328120000000
1;3;2.33006960000000
1;3;1.70545440000000
1;3;1.44808120000000
1;3;0.713690660000000
1;3;1.28362190000000
1;3;0.800169330000000
1;3;0.853725440000000
1;3;2.42037480000000
1;3;2.11658110000000
1;3;1.40804790000000
1;3;1.75786320000000
1;3;1.21129290000000
1;3;1.36956190000000
1;3;1.46867240000000
1;3;1.78547530000000
1;3;0.886244000000000
1;3;0.664304220000000
1;3;1.37750360000000
1;3;0.971257160000000
1;3;1.13056520000000
1;3;1.66795560000000
1;3;1.99308680000000
1;3;1.40647640000000
1;3;1.64041080000000
1;3;1.46220210000000
1;3;1.91097890000000
1;3;1.26975720000000
1;3;1.51258050000000
1;3;1.77773320000000
1;3;2.04238380000000
1;3;1.40283230000000
1;3;0.855365410000000
1;3;0.651968220000000
1;3;1.23237310000000
1;3;1.09290130000000
0.250000000000000;3;0.811217560000000
0.250000000000000;3;0.738016890000000
0.250000000000000;3;0.821229670000000
0.250000000000000;3;1.25981690000000
0.250000000000000;3;0.635918350000000
0.250000000000000;3;0.726376890000000
0.250000000000000;3;0.604499670000000
0.250000000000000;3;0.309173920000000
0.250000000000000;3;0.895968220000000
